,DY,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
AALR3,,,,"0,79","0,47",,,,,,,,
ABCB4,"8,43","9,48","7,90","1,01","5,20","6,39","6,32","7,80","13,72","4,88","4,78","2,34","4,81"
ABEV3,"5,46","5,25","4,41","2,64","2,63","3,58","2,54","3,90","4,01","4,67",,,
ADHM3,,,,,,,,,,,,,
AERI3,,"1,83",,,,,,,,,,,
AESB3,,"1,11","2,09",,,,,,,,,,
AFLT3,"2,95","2,55","7,10","7,33","0,95","3,25","13,97","14,17",,"7,77","4,08",,
AGRO3,"12,49","17,54","9,10","2,84","4,89","4,88","1,93","5,29","12,67",,"1,07",,
AGXY3,"0,82","1,70",,,,,,,,,,,
AHEB3,,,,,,,,,,,,,
AHEB5,,,,,,,,,,,,,
AHEB6,,,,,,,,,,,,,
ALLD3,"5,49","15,49","4,48",,,,,,,,,,
ALPA3,,,"1,28","0,13",,"2,62","1,82","3,08","9,24","3,77","2,01","1,48","2,30"
ALPA4,,,"1,18","0,13",,"2,77","1,95","3,00","22,34","3,83","1,94","1,58","2,50"
ALPK3,,,,,,,,,,,,,
ALSC3,,,,,"0,96","0,61",,"0,76","12,34","1,94","1,89","0,74","0,63"
ALSO3,"2,31","2,26","1,05",,"0,91",,,,,,,,
ALUP11,"5,85","4,36","3,49","2,55","1,63","3,93","2,78","4,91","9,13","12,24",,,
ALUP3,"5,83","4,48","3,46","2,57","1,32","3,20","2,14","3,45",,,,,
ALUP4,"5,86","4,29","3,48","2,58","1,78","4,40","3,19","6,36",,,,,
AMAR3,,,,,,,,,"1,35","0,75","0,62","1,17","3,97"
AMBP3,"0,62","1,45","0,22",,,,,,,,,,
AMER3,,"6,43",,,,,,,,,,,"0,62"
ANDG3B,,,,,,,,,,,,,
ANDG4B,,,,,,,,,,,,,
ANIM3,,,,,"0,02","1,49","0,22","1,38","3,43","0,31",,,
APER3,"1,06","0,26",,"0,16",,,,,,,,,
APTI3,,,,,,,,,,,,,
APTI4,,,,,,,,,,,,,
ARML3,"1,94","3,46","0,26",,,,,,,,,,
ARZZ3,"2,32","2,35","1,21","0,78","2,51","2,33","3,76","3,33","4,21","2,26","1,41","0,47","0,48"
ASAI3,"0,70","0,83","2,81",,,,,,,,,,
ATMP3,,,,,,,,,,,,,
ATOM3,"14,24","2,78","10,00",,,,,,,,,,
AURA33,"4,45","4,87","14,57",,,,,,,,,,
AURE3,"10,90","0,68",,,,,,,,,,,
AVLL3,,,,,,,,,,,,,
AZEV3,,,,,,,,,"8,04",,,,
AZEV4,,,,,,,,,"8,94","2,82",,,
AZUL4,,,,,,,,,,,,,
B3SA3,"3,05","3,66","15,28","3,47","2,70","2,62","1,99","3,05",,,,,
BAHI3,,,,,,,,,,,,,
BALM3,"2,16","23,50","2,18","5,70",,"0,27",,,,,,,
BALM4,"2,10","27,26","3,16","7,52",,"0,21","0,43","5,63","6,14","39,42","1,29","0,29","0,77"
BAUH4,"1,68",,,"0,89","0,62","2,38","3,34","2,95","6,08","1,74",,,
BAZA3,"7,09","13,75","6,29","8,49","4,27","2,68","2,53","0,11","15,19","8,10","6,78","8,40","5,00"
BBAS3,"9,66","12,01","7,86","3,81","4,84","3,26","2,96","2,65","11,42","6,97","9,68","6,33","7,93"
BBDC3,"7,13","2,86","5,76","2,66","5,48","3,08","3,05","1,12","6,29","3,44","2,45","2,72","3,85"
BBDC4,"7,00","2,80","5,34","2,61","5,68","2,97","3,18","1,24","7,36","3,70","2,97","2,89","3,48"
BBML3,,,,,,,,,,,,,
BBSE3,"11,21","5,83","4,80","9,40","4,20","11,23","5,77","5,91","6,91","3,73",,,
BDLL3,,,,,,,,,,,"12,98",,
BDLL4,,,,,,,,,"31,56","10,75","13,90","8,70","22,34"
BEEF11,,,,,,,,,,,,,
BEEF3,"6,31","4,33","10,18","2,95",,,"2,48",,,,,"2,81","1,20"
BEES3,"7,26","10,63","7,05","3,90","4,79","5,81","2,39","1,17","4,59","0,71",,,"0,33"
BEES4,"6,29","9,02","5,94","3,53","4,46","4,04",,,,,,,
BFRE11,,,,,,,,,,,,,
BFRE12,,,,,,,,,,,,,
BGIP3,"8,71","3,78","3,16","1,64",,"4,25","10,04","1,78",,,,"6,66",
BGIP4,"10,66","6,39","5,10","2,89","2,03","4,87","11,81","2,49","4,81",,"3,40","7,22","7,05"
BIDI11,,,"0,27","0,17","0,23",,,,,,,,
BIDI3,,,"0,27","0,17","0,25",,,,,,,,
BIDI4,,,"0,27","0,17","1,84",,,,,,,,
BIOM3,,,,,,,,,,,"0,09","0,09",
BLAU3,"3,72","3,23","0,68",,,,,,,,,,
BLUT3,,,,,,,,,,,,,
BLUT4,,,,,,,,,,,,,
BMEB3,"6,70","5,21","9,83","3,78","0,41",,,"11,57","4,71","4,95","4,78","3,75","5,76"
BMEB4,"7,78","5,72","11,97","4,22","5,12","18,85","6,62","15,79","24,44","7,36","7,74","5,66","8,01"
BMGB4,"15,92","16,61","10,11","2,87","2,55",,,,,,,,
BMIN3,"5,06",,,"7,00",,"0,23",,"0,35",,,"0,55",,"0,41"
BMIN4,"8,28","6,41","11,34","7,04","7,04","9,90","0,13","2,45","10,54","6,29","4,92","2,21","3,13"
BMKS3,"18,34","5,66","3,33","2,41","3,05","6,31","10,00","7,90","13,94","8,66","10,98","27,12","111,43"
BMOB3,"1,86","1,41",,,,,,,,,,,
BNBR3,"3,96","5,89","6,54","3,54","3,88","4,55","6,00","3,29","20,42","7,45","6,67","0,42","3,12"
BOAS3,"3,20","3,68","1,45","0,43",,,,,,,,,
BOBR3,,,,,,,,,,,,,
BOBR4,,,,,,,,,,,,,
BPAC11,"2,41","2,74","4,10","1,29","1,85","2,86",,,,,,,
BPAC3,"1,76","1,69","2,24","0,88","1,17","5,46","6,80",,,,,,
BPAC5,"2,99","3,91","5,51","1,75","2,04","6,11","8,88",,,,,,
BPAN4,"3,04","4,59","2,10","3,90","0,72","3,13",,"0,26","0,12",,,,
BPAR3,"1,70","5,69",,,,,,,,,,,
BPAT33,,,,,,,,,,,,,
BPHA3,,,,,,,,,,,,"0,05",
BRAP3,"12,29","11,63","47,03","3,18","3,58","5,99","1,74","0,80","21,16","13,21","2,91","5,51","4,41"
BRAP4,"12,58","11,01","45,09","3,14","3,64","6,09","1,65","0,75","20,71","12,00","2,59","5,64","5,37"
BRBI11,"5,49","11,51",,,,,,,,,,,
BRBI3,,,,,,,,,,,,,
BRBI4,,,,,,,,,,,,,
BRFS3,,,,,,,,"1,58","2,16","1,49","2,20","0,27","1,99"
BRGE11,"2,42","4,91","4,83","3,50","2,10",,"6,83",,,"2,06",,,
BRGE12,,,"0,01",,"0,02","0,05","0,14","0,15","1,18",,"0,70",,
BRGE3,,,"0,01",,"0,01","0,04","0,21",,,,,,
BRGE5,"2,11",,,"2,41","0,64","10,96",,"9,43",,,,,
BRGE6,"5,10","6,30","8,17","3,81","5,97",,,,"3.386,32",,,,
BRGE7,"3,32",,,,,"12,23",,,,,,,
BRGE8,"2,19","3,40","3,17","3,68","2,54",,,,,,,,
BRIN3,"0,83",,,,,,,,"0,13","12,84","9,45","4,92","20,53"
BRIT3,"0,88","0,04",,,,,,,,,,,
BRIV3,"1,46","0,58","0,26",,,,"2,42","3,32","1,35","1,31","1,19",,
BRIV4,"2,85","6,57","8,22","7,54","5,13","7,81","7,90","12,36","6,55","5,42","3,60",,
BRKM3,,"6,71","13,28",,"2,66","4,14","2,89","8,38","3,81","5,61",,"6,30","7,07"
BRKM5,,"7,14","13,08",,"2,81","3,98","2,93","7,34","2,19","3,46",,"4,73","6,51"
BRKM6,,,"1,78",,"2,53",,,"1,35","3,79",,,,
BRML3,,"0,65",,,"4,93","0,73","0,52",,"4,12","2,86","2,79","0,56","0,91"
BRPR3,,"1,62","2,69","0,87",,"1,99","0,44",,"29,14","63,90","5,52","1,52","0,59"
BRQB3,,,,,,,,,,,,,
BRSR3,"6,92","8,23","8,04","4,17","5,41","6,29","1,03","5,35","10,01","5,21","3,10","4,86","5,27"
BRSR5,"4,96","5,08","7,13","3,41","5,16","5,89","1,23","5,42",,"4,98",,"4,08",
BRSR6,"7,10","9,09","9,88","4,51","5,75","6,07","1,82","5,60","15,37","4,56","3,19","4,01","3,85"
BSEV3,,,,,,,,,,,"0,09",,
BSLI3,"1,25","5,81","1,75","2,56","0,50",,,,,,,,
BSLI4,"1,54","8,00","2,99",,,,,,,,,,
BTTL4,,,,,,,,,,,,,
CALI3,"3,17","52,30",,,,,,,,,,,
CALI4,,,,,,"3,92",,,,,,,
CAMB3,"2,52","2,96",,,,,,,,,,,
CAMB4,"3,18",,,,,,,,,,,"2,12",
CAML3,"2,57","4,41","2,17","5,27","1,99","2,28",,,,,,,
CASH3,,,"1,14",,,,,,,,,,
CASN3,"0,23",,,,,,,,,,,"0,05",
CASN4,"0,29",,,,,,,,,,,,
CATA3,"38,09",,,,,,,,,,,,
CATA4,,,,,,,,,,,,,
CBAV3,"9,39","3,32",,,,,,,,,,,
CBEE3,,"2,65","0,30","2,00","1,23",,,,"1,33","3,78","4,63","0,53","0,70"
CCRO3,"2,68","3,51","1,43","3,58","4,02","5,30","3,94","4,44","4,74","5,15","4,15","3,07","14,88"
CCXC3,,,,,,,,,,,,,
CEAB3,,,,,,,,,,,,,
CEBR3,"10,97","34,76","594,84","1,33","0,09",,,,,,"15,41",,
CEBR5,"11,03","31,62","600,49","2,53","6,02","11,06",,,,,"18,38",,
CEBR6,"11,16","38,54","676,39","1,26","0,10",,,,,,"22,07",,
CEDO3,,,,,,,,,,"2,38",,"4,36","19,87"
CEDO4,,,,,,,,,,"2,06","6,22","5,79","17,70"
CEEB3,"4,83","16,26","19,55","1,12","10,38","1,78","3,18","7,51","3,99","2,45","3,82",,"4,17"
CEEB5,"3,68","20,57",,"1,13","10,66",,,"7,24",,"2,49",,,"4,35"
CEEB6,"3,64",,,,,,,,,,,,
CEED3,,,,,,,,,,,,,
CEED4,,,,,,,,,,,,,
CEGR3,"1,16",,"4,36","0,16","3,55","2,68",,,"3,27","8,63","5,00",,
CEPE3,"0,43",,,"1,29",,,,,,,,,
CEPE5,"1,35",,"11,55","4,81","4,75","3,74","8,50","3,62","5,37","7,29","1,12","3,79","6,63"
CEPE6,"1,39",,"10,90","4,73","7,78",,,,"7,71",,,,"7,61"
CESP3,,,"9,86","8,19","2,73","0,18","4,35","3,86","47,59","14,19","7,12","9,31","2,58"
CESP5,,,,"10,32","5,70","9,12",,"18,91","27,61","12,65","8,23","9,83","5,42"
CESP6,,,"10,09","7,86","2,78","0,17","3,66","3,57","36,23","11,86","6,32","7,92","2,13"
CGAS3,"9,48","10,77","8,18","4,82","10,39","7,04","17,49","26,51","13,50","3,25","1,77","3,01","8,65"
CGAS5,"10,11","11,89","8,88","5,34","11,47","8,16","17,63","25,75","13,88","3,52","1,74","3,07","9,23"
CGRA3,"4,89","11,96","3,46","4,92","4,36","4,85","4,75","6,91","15,13","4,05","3,18","3,30","7,02"
CGRA4,"4,59","12,66","3,61","4,92","4,41","4,65","4,51","7,10","17,22","4,16","2,99","3,30","7,08"
CIEL3,"7,83","4,80","7,70","1,62","6,14","15,95","3,75","2,00","2,29","4,57","3,58","4,14","3,43"
CLSA3,,,,,,,,,,,,,
CLSC3,"6,44","9,09","7,10","4,07","2,00",,,,,,,,
CLSC4,"6,81","9,18","6,96","4,63","2,05",,,,,,,,
CMIG3,"5,94","9,49","6,35","3,75","4,65","1,16","3,80","8,21","9,47","23,94","13,96","26,33","10,99"
CMIG4,"9,28","13,75","8,97","4,29","5,26","4,65","3,55","8,39","9,95","25,14","14,15","25,52","9,02"
CMIN3,"21,27","22,58","6,95",,,,,,,,,,
CMSA3,,,,,,,,,,,,,
CMSA4,,,,,,,,,,,,,
CNSY3,,,,,,,,,,,,,
COCE3,"1,69",,"6,14","2,93","3,60","2,87","4,09",,"1,60","2,01","6,16","7,89","13,46"
COCE5,"1,99","4,31","6,23","3,54","3,00","2,27","3,64","1,85","1,49","2,50","6,54","7,88","12,40"
COCE6,"4,42",,,,,,,,,,,,
COGN3,,,,,"1,05","4,42","2,31","2,62","1,69","11,64","1,47",,
CORR3,"2.762,62",,,,,,,,,,,,
CORR4,"91,30",,,,,,"4,24",,"5,31",,,,
CPFE3,"8,46","9,77","13,80","5,53","1,35","0,95","1,13","0,82",,"5,56","4,46","6,79","6,87"
CPLE11,"4,32","11,30","11,21",,,,,,,,,,
CPLE3,"4,15","11,72","19,45","4,03","3,74","3,55","12,57","5,96","5,27","8,64","7,24","2,70","4,46"
CPLE5,"1,73","3,83","3,82",,,,,,,,,,"7,83"
CPLE6,"4,33","11,20","20,33","4,14","4,12","3,81","11,87","4,59","3,82","6,59","5,81","2,36","4,16"
CPRE3,,,,,,"0,04",,,,,,,
CREM3,,,,,,,,,,,,,
CRFB3,"3,41","2,34","5,95","1,28","1,21","1,94",,,,,,,
CRIV3,,"0,48",,"0,64","0,34","1,05",,,,,"3,71",,
CRIV4,"4,11","8,96","7,96","7,54","4,43","6,66","7,50","9,72","9,15","8,69","7,07",,
CRPG3,"19,25",,"7,60","0,41","2,72","14,17","1,53",,,,,,
CRPG5,"23,42","16,40","8,35","0,40","3,05","13,57","2,68",,,,,,
CRPG6,"29,16","17,11","8,06","0,40","3,06","14,28","1,99",,,,,,
CSAB3,"1,80","2,88",,"5,64",,"5,75","13,53","10,04","7,48",,"5,55","8,27",
CSAB4,"1,39","2,43","4,79","6,83","4,58",,"15,14","10,12","10,53","11,49","6,12","9,29",
CSAN3,"2,46","2,50","6,48","1,98","1,44","3,31","4,49","5,64","3,91","3,85","1,87","1,49","1,82"
CSED3,"1,63","3,41",,,,,,,,,,,
CSMG3,"8,23","2,45","7,43","50,99","2,54","6,54","4,83","1,84","0,57","4,49","3,44","2,79","4,95"
CSNA3,"24,07","17,74","7,69","0,03","6,73",,,,"5,07","8,85","6,34","6,94","8,50"
CSRN3,"6,98","18,92","13,71","0,94","6,23","3,90","5,53","7,40","6,36","4,66",,"9,81","7,67"
CSRN5,"6,66","23,08","15,72","1,01",,"4,60",,"8,30","8,41","5,26",,"10,52",
CSRN6,"6,82",,"13,95","1,05",,,,"8,36",,"4,56",,"9,81",
CSUD3,"6,05","6,35","3,72","2,02","2,09","5,09","3,68","6,33","5,70","2,88",,"4,01","7,25"
CTCA3,,,,,,,,,,,,,
CTKA3,,,,,,,,,,,,,"4,20"
CTKA4,,,,,,,,,,,,,"4,73"
CTNM3,,,,,,,,,,,,,"0,16"
CTNM4,,,,,,,,,,,,,"0,16"
CTSA3,,,,"1,20","0,62","46,34","0,82",,"0,49","10,14","3,15","3,55","4,02"
CTSA4,,,,"1,49","0,63","33,37","0,97",,"0,64","10,66","4,01","3,64","4,38"
CTSA8,,,,,,,,,,,,,
CURY3,"1,71","4,07","8,08",,,,,,,,,,
CVCB3,,,,,"1,01","0,82","0,94","3,83","5,53","1,45",,,
CXSE3,"7,84","7,77","2,93",,,,,,,,,,
CYRE3,"2,39","4,32","6,89","6,16","6,13","7,24","0,71","2,72","5,53","3,83","3,50","1,61","2,27"
DASA3,"0,84","0,71","1,74",,"0,98","2,08","0,51","0,57","0,62","0,91","0,45","0,24","0,62"
DESK3,"0,14","0,18",,,,,,,,,,,
DEXP3,"2,44","5,59","8,08","1,39",,,,,,,,,
DEXP4,"2,88","6,52","9,94","6,12",,,,,,,,,
DIRR3,"3,55","7,48","5,43","6,19","5,87","8,16",,"5,94","12,71","7,51","3,03","1,91","3,18"
DMMO11,,,,,,,,,,,,,
DMMO3,,,,,,,,,,,,,
DMVF3,,,,,,,,,,,,,
DOHL3,,,"0,98","2,07",,,,,,,,,
DOHL4,,"3,06","3,39","8,59",,"5,64","6,83",,"2,12","4,40","4,36","5,83","6,09"
DOTZ3,,,,,,,,,,,,,
DTCY3,,,,,,,,,,,,,
DTCY4,,,,,,,,,,,,,
DXCO3,"4,45","5,00","11,46","1,64","2,23","6,70","1,05",,"6,50","3,74","2,22","1,92","3,20"
EALT3,"2,59","12,69","2,95","0,43","0,91","21,21",,,"5,20","10,28",,,
EALT4,"2,71","18,75","5,25","1,18","2,13","22,07","2,70","3,81","10,20","13,40","1,88",,
ECOR3,"0,10","0,17",,,,"7,70","3,43","3,20","8,33","12,42","5,27","2,04","1,84"
ECPR3,,,,,"2,80",,,,,,,"52,71",
ECPR4,,,,,"2,79",,,,,,,"59,82",
EEEL3,,,,"3,56","3,61","6,87","16,82",,,,,,
EEEL4,,,,"5,24","3,38","7,14",,,,,,,
EGIE3,"8,59","7,89","4,66","3,92","3,19","12,77","7,65","5,63",,,,,
EKTR3,"10,63","22,30","9,45","1,42","4,16",,,,,,,,
EKTR4,"11,01","22,50","12,32","1,34","4,40",,"8,16","9,46","15,20","10,93","6,91","8,93","10,65"
ELEK3,,,,"0,34","2,00","9,43",,,,,"8,55","0,17","1,36"
ELEK4,,,,"0,17","2,06","9,39",,,,,"7,84","0,13","1,58"
ELET3,"0,65","1,84","7,18","4,43","2,14",,,,,"20,88","13,76","39,68","4,90"
ELET5,"2,39",,"4,86","5,00","4,41",,,,,,,,
ELET6,"3,97","3,73","7,99","4,83","3,63",,"7,47",,"0,97","60,58","33,29","31,79","6,38"
ELMD3,,,,,,,,,,,,,
ELPL3,,,,,,,"0,77","0,95",,,,,"15,44"
EMAE3,"7,12",,,,,,,,,,,,
EMAE4,"3,07","1,30","10,64","1,92","1,77","8,26","4,91","1,19",,"4,26",,,"1,28"
EMBR3,,,,,,"0,61","1,56","0,63","0,60","1,38","1,33","1,45","2,13"
ENAT3,"0,93","12,65","1,46","9,64","11,92",,,,,,,,
ENBR3,"5,90","10,55","4,78","0,99","2,04","8,20","0,86","8,59","1,36","11,11","7,40","4,03","1,91"
ENEV3,,,,,,,,,,,,,
ENGI11,"3,31","2,62","8,90","1,15","2,02","2,10","2,07","2,16","6,75","5,02","0,93",,
ENGI3,"2,03","1,65","5,78","0,71","1,59","1,93","1,16","2,06","6,30","5,52","4,01","2,30","3,96"
ENGI4,"3,93","3,11","10,30","1,41","2,13","2,13","2,55","2,17","6,54","6,16","5,61","2,22","3,74"
ENJU3,,,,,,,,,,,,,
ENMA3B,"5,53",,,,"10,21",,,,,,,,
ENMA6B,"3,32",,,,,,,,,,,,
ENMT3,"5,18","4,34","6,77",,"3,54","9,93",,"0,01","2,59",,,,
ENMT4,"5,09","4,32","6,11","1,72","3,46","10,70",,,"2,59",,,,
EPAR3,,"20,71",,,,,,,,,,,
EQPA3,"7,99","7,64","7,99","8,48","3,55",,,,,,,,
EQPA5,"5,99","5,68","5,92","4,75","2,17",,,,,,,,
EQPA6,"4,80",,,,,,,,,,,,
EQPA7,"7,19","6,31","6,12","5,21","1,72",,,,,,,,
EQTL3,"1,14","2,37","3,18","1,38","4,17","1,62","0,88","1,71","3,45","1,41","1,47","2,46","14,21"
ESPA3,,,"1,71",,,,,,,,,,
ESTR3,,,,,,,,,,,,,
ESTR4,,,,,,,,,,,,,
ETER3,"4,39","9,38","1,15",,,,,,"14,59","20,68","9,12","9,85","10,15"
EUCA3,"4,57",,"5,29",,"0,06",,"0,70",,,,,,
EUCA4,"6,40",,"7,86",,"0,55","1,55","1,35","0,29","1,52",,"3,01","2,88","4,02"
EVEN3,"2,40","3,28","12,61","1,20",,,,"4,78","12,82","10,60","3,21","2,45","4,16"
EZTC3,"1,34","5,80","2,07","0,69","0,27","2,06","17,38","6,32","8,69","4,31","1,87","2,07","2,50"
FBMC3,,,,,,,,,,,,,
FBMC4,,,,,,,,,,"11,91","6,27","8,59","3,73"
FESA3,"6,03","8,25","1,34","2,69","3,68","4,38","5,98","6,25","9,27",,"0,88",,
FESA4,"8,62","10,18","1,72","4,86","6,74","5,73","6,11","10,27","13,00","3,19","1,40","1,88","4,21"
FHER3,,,,,,,,,,,,,
FIBR3,,,,,,,,,,,,,
FIEI3,,,,,,,,,"74,07",,,"1,55","12,80"
FIGE3,"0,33",,,,,,,,,"0,14",,,
FIGE4,,,,,,,,,,"0,16",,,
FIQE3,"3,29","2,16","1,26",,,,,,,,,,
FLEX3,,,,,,,,,,,,,
FLRY3,"3,24","6,50","5,32","2,73","3,32","4,86","2,16","6,87","0,39","7,86","1,33","1,00","0,94"
FNCN3,"3,75",,,,,,,,,,,,
FRAS3,"2,85","3,66","2,15","1,73","5,24","5,03","5,53","2,49","3,49","2,67",,"1,70","5,87"
FRIO3,,,,,,,,,,,,,"12,41"
FRTA3,,,,,,,,,,,,,
FTRT3B,,,,,,,,,,,,,
G2DI33,,,,,,,,,,,,,
GBIO33,,,,,,,,,,,,,
GEPA3,"11,72","5,38","9,19","6,22","5,43","10,32","10,17","11,25",,,"5,76","7,86",
GEPA4,"12,44","4,97","8,88","5,96","5,37","8,79","9,80","10,29","5,21","8,42","5,76","5,77","6,80"
GETT11,,"8,79",,,,,,,,,,,
GETT3,,"8,39",,,,,,,,,,,
GETT4,,"9,02",,,,,,,,,,,
GFSA3,,,,,,,,"2,59",,"3,65","8,81",,"5,56"
GGBR3,"14,03","14,81","13,66","1,58","1,64","3,10","0,48","0,63","6,32","3,64","1,79","1,95","2,69"
GGBR4,"12,96","12,36","11,26","1,31","1,40","2,56","0,40","0,46","4,73","3,05","1,25","1,67","2,28"
GGPS3,"1,46",,"1,18",,,,,,,,,,
GMAT3,,,,,,,,,,,,,
GNDI3,,"2,41","0,47","0,21","0,22",,,,,,,,
GOAU3,"9,96","10,36","21,83","1,83","1,73","2,71","0,39",,"7,28","3,48","0,79","2,27","3,46"
GOAU4,"9,94","9,64","20,39","1,60","1,62","2,88","0,35",,"6,63","2,65","0,64","1,79","2,96"
GOLL4,,,,,,,,,,,,,"1,51"
GPAR3,,"33,67",,,,,,,,,,,
GPIV33,,,,,,,,,,,,,
GRAO3,,,,,,,,,,,,,
GRND3,"20,89","5,07","10,01","2,00","2,61","10,84","4,40","5,93","4,10","5,14","5,42","5,55","7,93"
